Category,Sub-Category,Total_Sales,Total_Profit,Total_Quantity,Profit_Margin
Technology,Phones,330007.054,44515.7306,3289,13.489326988749761
Furniture,Chairs,328449.103,26590.1663,2356,8.095673289142763
Office Supplies,Storage,223843.608,21278.8264,3158,9.506113035847779
Furniture,Tables,206965.532,-17725.4811,1241,-8.564460433923848
Office Supplies,Binders,203412.733,30221.7633,5974,14.857360625502238
Technology,Machines,189238.631,3384.7569,440,1.788618360909618
Technology,Accessories,167380.318,41936.6357,2976,25.054699501765793
Technology,Copiers,149528.03,55617.8249,234,37.195584600425754
Furniture,Bookcases,114879.9963,-3472.556,868,-3.0227682032054526
Office Supplies,Appliances,107532.16100000001,18138.005400000002,1729,16.86751687246386
Furniture,Furnishings,91705.164,13059.1436,3563,14.240357936658832
Office Supplies,Paper,78479.206,34053.5693,5178,43.391837195702514
Office Supplies,Supplies,46673.538,-1189.0995,647,-2.5476952272184725
Office Supplies,Art,27118.792,6527.787,3000,24.071083254740845
Office Supplies,Envelopes,16476.402,6964.1767,906,42.26758184220075
Office Supplies,Labels,12486.312,5546.254,1400,44.41867222283089
Office Supplies,Fasteners,3024.28,949.5182,914,31.39650429193064
